Entities,Counts,Appearance_Percent,Popularity,Normalized Score,Popularity_Growth
Head,4,15.38,61.52,0.00815325345491818,0.00815
Such,4,15.38,61.52,0.00815325345491818,0.00815
Jacob Banks,4,15.38,61.52,0.00815325345491818,0.00815
Shabazz Palaces,4,15.38,61.52,0.00815325345491818,0.00815
The Coachella,4,15.38,61.52,0.00815325345491818,0.00815
Denzel Curry,4,15.38,61.52,0.00815325345491818,0.00815
Ramin Djawadi,4,15.38,61.52,0.00815325345491818,0.00815
Billy Ray Cyrus,8,7.69,61.52,0.00815325345491818,0.00815
Mumford & Sons,4,15.38,61.52,0.00815325345491818,0.00815
Killers,10,7.69,76.9,0.01032764287986428,0.00801
Hot Chip,5,15.38,76.9,0.01032764287986428,0.00801
Have,5,15.38,76.9,0.01032764287986428,0.00801
Eats Everything,9,11.54,103.86,0.014139186371187218,0.00796
Everyone,17,19.23,326.91,0.04567348814194324,0.00783
David Byrne,7,15.38,107.66,0.014676421729756481,0.00772
Stephan Bodzin,7,19.23,134.61,0.01848655144382003,0.00768
Image,5,11.54,57.7,0.007613190541830134,0.00761
Afterlife,5,11.54,57.7,0.007613190541830134,0.00761
Martin Starr,5,11.54,57.7,0.007613190541830134,0.00761
Documentary,5,11.54,57.7,0.007613190541830134,0.00761
Bob Moses,5,11.54,57.7,0.007613190541830134,0.00761
Mad Decent,5,11.54,57.7,0.007613190541830134,0.00761
Salvatore Ganacci,5,11.54,57.7,0.007613190541830134,0.00761
Moby’s,5,11.54,57.7,0.007613190541830134,0.00761
Macklemore,5,11.54,57.7,0.007613190541830134,0.00761
Prime,5,11.54,57.7,0.007613190541830134,0.00761
Brendon Urie,5,11.54,57.7,0.007613190541830134,0.00761
Lost Lands,9,11.54,103.86,0.014139186371187218,0.00719
Ekali,6,15.38,92.28,0.01250203230481038,0.00709
Koenig,12,7.69,92.28,0.01250203230481038,0.00709
Lil Nas X’s,7,7.69,53.83000000000001,0.00706605874244513,0.00707
I’ll,6,11.54,69.24,0.009244689499169408,0.00693
Diplo,6,11.54,69.24,0.009244689499169408,0.00693
Yellow Claw,7,19.23,134.61,0.01848655144382003,0.00691
SZA,5,11.54,57.7,0.007613190541830134,0.00684
Blood Orange,10,7.69,76.9,0.01032764287986428,0.00646
Tierra Whack,5,11.54,57.7,0.007613190541830134,0.00607
Mike Mills,6,7.69,46.14,0.005978864029972078,0.00598
Jeff Mills,4,11.54,46.16,0.0059816915844908645,0.00598
It’s,4,11.54,46.16,0.0059816915844908645,0.00598
Seth Troxler,4,11.54,46.16,0.0059816915844908645,0.00598
Agoria,4,11.54,46.16,0.0059816915844908645,0.00598
Juice WRLD,4,11.54,46.16,0.0059816915844908645,0.00598
Dropbox,6,7.69,46.14,0.005978864029972078,0.00598
Toro y Moi,4,11.54,46.16,0.0059816915844908645,0.00598
Nile Rodgers,4,11.54,46.16,0.0059816915844908645,0.00598
Pelican,6,7.69,46.14,0.005978864029972078,0.00598
The Rolling Stones,4,11.54,46.16,0.0059816915844908645,0.00598
Radiohead’s,6,7.69,46.14,0.005978864029972078,0.00598
Pioneer,6,7.69,46.14,0.005978864029972078,0.00598
Stevie Wonder,6,7.69,46.14,0.005978864029972078,0.00598
SHADES,6,7.69,46.14,0.005978864029972078,0.00598
Lil Uzi Vert,6,7.69,46.14,0.005978864029972078,0.00598
Titus Andronicus,6,7.69,46.14,0.005978864029972078,0.00598
Lykke Li,6,7.69,46.14,0.005978864029972078,0.00598
Here’s,4,15.38,61.52,0.00815325345491818,0.00583
Rolling Stone,6,15.38,92.28,0.01250203230481038,0.00555
Kenny Beats,7,7.69,53.83000000000001,0.00706605874244513,0.00552
H.E.R.,7,11.54,80.78,0.01087618845650868,0.00547
DJ Snake’s,6,11.54,69.24,0.009244689499169408,0.00538
Adventure Club,5,11.54,57.7,0.007613190541830134,0.0053
Woodstock,4,11.54,46.16,0.0059816915844908645,0.00521
Skepta,5,15.38,76.9,0.01032764287986428,0.00492
PJ Harvey,5,7.69,38.45,0.004891669317499029,0.00489
Nicki Minaj,5,7.69,38.45,0.004891669317499029,0.00489
EarthGang,5,7.69,38.45,0.004891669317499029,0.00489
Diddy,5,7.69,38.45,0.004891669317499029,0.00489
Dead & Company,5,7.69,38.45,0.004891669317499029,0.00489
Neil Young,5,7.69,38.45,0.004891669317499029,0.00489
Pacific,5,7.69,38.45,0.004891669317499029,0.00489
Dimension,5,7.69,38.45,0.004891669317499029,0.00489
Rüfüs Du Sol,5,7.69,38.45,0.004891669317499029,0.00489
Watkins Glen,5,7.69,38.45,0.004891669317499029,0.00489
Dedicated,5,7.69,38.45,0.004891669317499029,0.00489
DeMarco,5,7.69,38.45,0.004891669317499029,0.00489
A1,5,7.69,38.45,0.004891669317499029,0.00489
Violent Femmes,5,7.69,38.45,0.004891669317499029,0.00489
Webster Hall,5,7.69,38.45,0.004891669317499029,0.00489
Method Man,5,7.69,38.45,0.004891669317499029,0.00489
Charly Bliss,5,7.69,38.45,0.004891669317499029,0.00489
Caroline,5,7.69,38.45,0.004891669317499029,0.00489
Brown’s,5,7.69,38.45,0.004891669317499029,0.00489
Clouds,5,7.69,38.45,0.004891669317499029,0.00489
Tim’s,5,7.69,38.45,0.004891669317499029,0.00489
Hydro,5,7.69,38.45,0.004891669317499029,0.00489
Family,5,7.69,38.45,0.004891669317499029,0.00489
Atticus Ross,5,7.69,38.45,0.004891669317499029,0.00489
A$AP Rocky,5,7.69,38.45,0.004891669317499029,0.00489
JAUZ,7,7.69,53.83000000000001,0.00706605874244513,0.00475
Ricardo Villalobos,7,7.69,53.83000000000001,0.00706605874244513,0.00475
Helena Hauff,11,3.85,42.35,0.005443042448662214,0.00467
Pusha-T,11,3.85,42.35,0.005443042448662214,0.00467
Maren Morris,7,15.38,107.66,0.014676421729756481,0.00463
hidden;line,12,3.85,46.2,0.005987346693528435,0.00444
City Girls,4,11.54,46.16,0.0059816915844908645,0.00444
Âme,3,11.54,34.62,0.004350192627151592,0.00435
The Roots,3,11.54,34.62,0.004350192627151592,0.00435
Dirt Monkey,3,11.54,34.62,0.004350192627151592,0.00435
STRUGGLING WIT LIFE OR,3,11.54,34.62,0.004350192627151592,0.00435
PhaseOne’s,3,11.54,34.62,0.004350192627151592,0.00435
Skee Mask,3,11.54,34.62,0.004350192627151592,0.00435
Guy Gerber,3,11.54,34.62,0.004350192627151592,0.00435
Dirtyphonics,3,11.54,34.62,0.004350192627151592,0.00435
Fire,3,11.54,34.62,0.004350192627151592,0.00435
Erica,3,11.54,34.62,0.004350192627151592,0.00435
Sven Vath,3,11.54,34.62,0.004350192627151592,0.00435
Jonas Rathsman,3,11.54,34.62,0.004350192627151592,0.00435
David Firth,3,11.54,34.62,0.004350192627151592,0.00435
Duke Dumont,3,11.54,34.62,0.004350192627151592,0.00435
Khalid’s,3,11.54,34.62,0.004350192627151592,0.00435
Ninja Tune,3,11.54,34.62,0.004350192627151592,0.00435
Die Antwoord,3,11.54,34.62,0.004350192627151592,0.00435
Lee Reynolds,3,11.54,34.62,0.004350192627151592,0.00435
Android,3,11.54,34.62,0.004350192627151592,0.00435
FISHER,3,11.54,34.62,0.004350192627151592,0.00435
Northlane,3,11.54,34.62,0.004350192627151592,0.00435
Luis Fonsi,3,11.54,34.62,0.004350192627151592,0.00435
Collaboration,3,11.54,34.62,0.004350192627151592,0.00435
Gesaffelstein’s,3,11.54,34.62,0.004350192627151592,0.00435
ASMR,9,3.85,34.65,0.004354433958929771,0.00435
Daft Punk,10,19.23,192.3,0.026642632453256997,0.00425
Ezra Koenig,6,19.23,115.38,0.01576785777400771,0.00418
Paul Woolford,5,7.69,38.45,0.004891669317499029,0.00412
Savage’s,5,7.69,38.45,0.004891669317499029,0.00412
Grande’s,5,7.69,38.45,0.004891669317499029,0.00412
Jay-Z,7,15.38,107.66,0.014676421729756481,0.00387
Paco Osuna,7,19.23,134.61,0.01848655144382003,0.00382
Beyoncé’s,8,3.85,30.8,0.00381012971406355,0.00381
Stormfield,8,3.85,30.8,0.00381012971406355,0.00381
EXIT,4,7.69,30.76,0.003804474605025978,0.0038
Drumcode,4,7.69,30.76,0.003804474605025978,0.0038
Ben Klock,4,7.69,30.76,0.003804474605025978,0.0038
Trilogy,4,7.69,30.76,0.003804474605025978,0.0038
Notre Dame,4,7.69,30.76,0.003804474605025978,0.0038
Gerd Janson,4,7.69,30.76,0.003804474605025978,0.0038
Blue Ivy,4,7.69,30.76,0.003804474605025978,0.0038
Kygo’s,4,7.69,30.76,0.003804474605025978,0.0038
Knife Party,4,7.69,30.76,0.003804474605025978,0.0038
Hybrid Minds,4,7.69,30.76,0.003804474605025978,0.0038
The Cure,4,7.69,30.76,0.003804474605025978,0.0038
Nicky Jam,4,7.69,30.76,0.003804474605025978,0.0038
Every Voice,4,7.69,30.76,0.003804474605025978,0.0038
